nprocs	temps (s)	speedup	                efficiency
1	    47.906	    1.00000000000000        1.0
2	    29.668	    1.61472885923948	    0.807364429619738
4	    12.269	    3.90476884574491	    0.976192211436226
8	    6.810	    7.03507848723503	    0.879384810904378
16	    5.250	    9.12514725878121	    0.570321703673825
32	    4.922	    9.7337594777671	        0.304179983680222
64	    9.623	    4.97806494161953	    0.0777822647128052
